RESPALDO DE PRODUCTOS - 20-04-2026 16:38
Servidor: 192.168.0.100 | Base de datos: dbecosur | Total: 34118 productos
==============================================================================================================
ID       DESCRIPCION                                                         PVP_SUGERIDO EST    CODIGOS_BARRA
37694    A.BAND.SPIRIT WOM.NIGHT FEVER 50ML                                             - ACTV   000661237388
16946    A.BAND.SPIRIT WOM.SP.100ML                                               $19,990 ACTV   8411061561232
39142    A.BAND.SPIRIT WOM.SP.100ML                                               $19,990 ACTV   8411061933107
12076    A.BAND.SPIRIT WOM.SP.30ML                                                 $6,990 ACTV   000661114351|661114351
17925    A.BAND.THE GOLDEN SECRET 100ML SP.                                       $24,990 ACTV   8411061722756
29690    A.BAND.THE GOLDEN SECRET 100ML+AF.SH.BALS.100ML                                - ACTV   8411061768365|8411061787472|8411061833391
32578    A.BAND.THE GOLDEN SECRET 100ML+DES.SP. 150ML                             $13,990 ACTV   8411061803042
34533    A.BAND.THE GOLDEN SECRET 200ML                                           $30,990 ACTV   8411061791691
29666    A.BAND.THE GOLDEN SECRET 30 ML                                            $9,990 ACTV   3607347609285|7807706292707|8411061722800
28433    A.BAND.THE GOLDEN SECRET 30ML+AF.SHAVE 50ML                              $13,990 ACTV   8411061736432
17928    A.BAND.THE GOLDEN SECRET 50ML                                            $17,990 ACTV   3877706291899|7807706294671|8411061727935|8411061727973
32575    A.BAND.THE GOLDEN SECRET 50ML+AFT.SHAVE BALM.100ML                       $15,990 ACTV   8411061808221
30289    A.BAND.THE GOLDEN SECRET 50ML+DES.SP.150ML                               $14,990 ACTV   8411061787489|8411061867822
29691    A.BAND.THE SECRET 100ML+AF.SHAVE BALS.100 ML                                   - ACTV   8411061787588|8411061788059|8411061808078
25780    A.BAND.THE SECRET 100ML.                                                 $24,990 ACTV   8411061701034
30405    A.BAND.THE SECRET 200ML                                                  $30,990 ACTV   8411061779521
25660    A.BAND.THE SECRET 30 ML                                                  $10,090 ACTV   3877706299895|8411061701058|8411061701171
17114    A.BAND.THE SECRET 50ML                                                   $17,990 ACTV   8411061701041|8411061701157
31733    A.BAND.THE SECRET 50ML+AF.SHAVE 50ML                                     $15,990 ACTV   8411061808108|8411061834299|8411061867761|8411061876664
32617    A.BAND.THE SECRET 50ML+AFT.SHAVE BALM 100ML                              $15,990 ACTV   8411061808207
30376    A.BAND.THE SECRET 50ML+DES.SP.150ML                                      $14,990 ACTV   8411061787595
36055    A.BAND.THE SECRET GAME 100ML                                                   - ACTV   8411061793565
36934    A.BAND.THE SECRET NIGHT 100ML                                                  - ACTV   8411061822760
36277    A.BAND.THE SECRET TEMPTATION 100ML                                             - ACTV   8411061860502
36278    A.BAND.THE SECRET TEMPTATION 50ML                                        $17,990 ACTV   8411061860564
48879    A.BRAVA AZUL EDT.E/L.100M                                                $12,990 ACTV   8411061797143
41449    A.BRAVA EDT.VAP. 100ML.                                                  $14,990 ACTV   1241052
43371    A.BRAVA EDT.VAP. 100ML.                                                  $13,990 ACTV   3051410072916
48871    A.BRAVA EDT.VAP. 100ML.                                                  $13,990 ACTV   8411061401903
47729    A.DAY LONG LAST.MAQ.CR.20                                                 $6,990 ACTV   7804985210514
48860    A.DOM.A.BAMB.WM.EDT50+EDT                                                $15,990 ACTV   8410190622210
42542    A.DOM.AGUA BAMB.H.EDTSP60                                                $19,990 ACTV   410190619326
48855    A.DOM.AGUA BAMB.H.EDTSP60                                                $25,990 ACTV   8410190597488
48858    A.DOM.AGUA BAMB.H.EDTSP60                                                $25,990 ACTV   8410190619326
42543    A.DOM.BAMBU EDTVAP.MUJ.50                                                $19,990 ACTV   410190619333
48854    A.DOM.BAMBU EDTVAP.MUJ.50                                                $24,090 ACTV   8410190593541
48856    A.DOM.BAMBU EDTVAP.MUJ.50                                                $27,190 ACTV   8410190618688
48859    A.DOM.BAMBU EDTVAP.MUJ.50                                                $24,090 ACTV   8410190619333
48853    A.DOM.BAMBU HOM.EDTVAP.60                                                $19,990 ACTV   8410190559011
48857    A.DOM.BAMBU HOM.EDTVAP.60                                                $19,990 ACTV   8410190619296
28060    A.DOMINGUEZ AGUA DE SANDALO 120ML EDT SP.                                      - ACTV   8410190515536
28061    A.DOMINGUEZ U MUJER 75ML EDT SP.                                               - ACTV   8410190264106
40683    A.GOLD BROC.SP.GEL 125ML                                                       - ACTV   054402720288
40684    A.GOLD BROC.SP.GEL 125ML                                                  $6,990 ACTV   054402720264
42168    A.GOLD LOC.BLACK 125ML                                                    $8,990 ACTV   54402710715
39919    A.GOLD LOC.BRONC.ACELER.237ML                                            $10,990 ACTV   054402250037
42167    A.GOLD LOC.D.TANN.ACEL237                                                $10,990 ACTV   54402250037
40941    A.GOLD SP.GEL.BRONC.F15 237ML                                            $11,990 ACTV   054402720257
48554    A.LIG.CR40+MI100+A.THE+CO                                                $16,990 ACTV   7807706297092
13055    AB ANTISEP.BUC.12COM.                                                     $4,890 ACTV   7800060005723
13056    AB ANTITUSIVO 12COM.                                                      $4,990 ACTV   7800060005754
223      ABACTEN 250MG.6CAP.                                                       $7,280 ACTV   7800018116662
18276    ABACTEN 500MG.3COM.                                                      $10,090 ACTV   7800018116891
23377    ABACTEN 500MG.6COM.RE.(B.E)                                              $21,990 ACTV   7800018162454
13560    ABACTEN FORTE 400MG/5ML 20ML                                             $17,990 ACTV   7800018150352
29981    ABACTEN FORTE 400MG/5ML 30ML                                             $15,990 ACTV   7800018178752
18277    ABACTEN JBE.200MG/5ML 15ML.                                               $9,290 ACTV   7800018150345
19935    ABACTEN JBE.200MG/5ML 30ML.                                              $11,010 ACTV   7800018150369
1507     ABALGIN SUP AD. X 6                                                       $6,990 ACTV   7800007392848
1508     ABALGIN SUP INF X 6                                                       $7,990 ACTV   7800007392763
29056    ABECIDIN ACD 30ML.25FCO.                                                  $3,990 ACTV   1005336|342033
5778     ABECIDIN ACD GOTAS 30 ML                                                 $11,290 ACTV   7800068010019
3581     ABIGAL LOCION PROP.HIERB.                                                 $3,990 ACTV   7804930001204
12960    ABIOLEX 1G.14COM.                                                         $8,200 ACTV   7800018150321
23374    ABIOLEX 1GR.20COM.DIS.                                                   $11,590 ACTV   7800018159218
21179    ABIOLEX 500MG.21COM.                                                      $4,575 ACTV   7800018124773
21180    ABIOLEX 750MG.21COM.                                                      $6,415 ACTV   7800018124803
32783    ABRETIA 60MG.28CAP.                                                      $45,680 ACTV   7730698007373
15270    ABRILAR 10.COMP.EFERV.                                                    $4,590 ACTV   4104480703331
202      ABRILAR JBE.100ML                                                         $6,290 ACTV   4104480705137|4104480705199
41487    ABRILAR JBE.35MG/5ML100ML                                                 $5,190 ACTV   1611399
20342    ABSORB LECHE ARGOS X 36                                                   $1,730 ACTV   7805670513330
19884    ABSORBITOL X 60 CAP                                                            - ACTV   54246
32308    AC FORTE JBE.120ML                                                             - ACTV   7800068010781
34830    AC JBE.120ML                                                                   - ACTV   7800068010774
228      AC SALIC TOALLITAS X 60                                                  $12,250 ACTV   8470001964694
20241    AC-SAL STICK 2% DOSIF 30ML                                               $11,120 ACTV   8470003990226
38395    AC. SALICILICO 1GR                                                             - ACTV   785247
29102    AC. VALPROICO 250 MG X 1000 COMP. ANDR 11/2015                                 - ACTV   1005387|7800018159577
46155    AC.ACETIL.BE.COM 100MG100                                                 $3,890 ACTV   7800063112190
40666    AC.ACETILSALICILICO 500MG.100COM.(BE) HOSPIFARMA                               - ACTV   7804640561050
12346    AC.BORICO PVO.100GR                                                            - ACTV   7805357001563
